,Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA,NHA,LE_MOE,LE_Ledock,LE_VINA,logP,LELP_MOE,LELP_Ledock,LELP_VINA
141,CHEMBL337604,1700.0,nM,[P+]([OH0])(=O)([O-])C(F)(F)c1ccc(COc2c(OCc3ccc(C([P+]([OH0])(=O)[O-])(F)F)cc3)cccc2)cc1,-9.1023331,5.769551078621726,1,-8.38,-9.0,36,0.2528425861111111,0.2327777777777778,0.25,4.911000000000004,19.42315207075867,21.09737470167066,19.644000000000016
142,CHEMBL47665,4710.0,nM,O=C(OC)C1C(C(=O)O)C2OC1CC2,-4.5159898,5.326979092871104,1,-3.16,-4.7,14,0.3225707,0.22571428571428573,0.33571428571428574,0.037599999999999634,0.11656359365559127,0.16658227848101104,0.1119999999999989
143,CHEMBL48449,3600.0,nM,O=C1C2(C)C(C)(C(=O)O1)C1OC2CC1,-4.2408137,5.443697499232712,1,-3.14,-4.0,14,0.3029152642857143,0.22428571428571428,0.2857142857142857,0.6436,2.124686590217344,2.8695541401273883,2.2526
144,CHEMBL48076,2960.0,nM,O=C(OCC)C1C(C(=O)O)C2OC1CC2,-5.8897762,5.528708288941061,1,-3.55,-4.6,15,0.3926517466666667,0.23666666666666666,0.30666666666666664,0.42769999999999947,1.0892604034767894,1.8071830985915471,1.3946739130434767
145,CHEMBL48010,4820.0,nM,O=C(OCCC)C1C(C(=O)O)C2OC1CC2,-4.9943395,5.31695296176115,1,-3.86,-5.3,16,0.31214621875,0.24125,0.33125,0.8177999999999999,2.619926018245255,3.389844559585492,2.4688301886792448
146,CHEMBL312993,1400.0,nM,FC(F)(C(=O)O)c1ccc(CC(NC(=O)C(NC(=O)OCC2c3c(-c4c2cccc4)cccc3)CCC(=O)O)C(=O)NC(C(=O)N)CC(C)C)cc1,-9.4347429,5.853871964321762,1,-8.62,-8.5,52,0.18143736346153846,0.16576923076923075,0.16346153846153846,3.678600000000002,20.274765515867962,22.191090487238995,22.504376470588248
147,CHEMBL279936,1150.0,nM,O=C(O)COc1ccc(-c2ccc(Cc3c(CCCC)oc4c3cccc4)cc2)cc1,-7.3466415,5.939302159646388,1,-6.15,-8.7,31,0.23698843548387097,0.19838709677419356,0.2806451612903226,6.496600000000006,27.413151982439892,32.74708943089434,23.148804597701172
148,CHEMBL25243,370.0,nM,Brc1c(OC(C(=O)O)Cc2ccccc2)ccc2c1ccc(Cc1c(CCCC)oc3c1cccc3)c2,-6.2738104,6.431798275933005,1,-5.6,-7.6,37,0.16956244324324327,0.15135135135135133,0.2054054054054054,8.356600000000006,49.283319113373295,55.213250000000045,40.683447368421085
149,CHEMBL24032,580.0,nM,Oc1c(Cc2c(-c3ccc(-c4ccc(O)cc4)cc3)c3c(s2)cccc3)ccc(O)c1,-5.4158297,6.236572006437063,1,-6.05,-7.9,31,0.17470418387096773,0.19516129032258064,0.25483870967741934,6.942900000000007,39.74089140949174,35.57519008264467,27.244291139240534
150,CHEMBL3350944,410.0,nM,O=C(O)C(Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4c3cc(C)cc4)cc2)cc1)Cc1ccccc1,-6.442471,6.3872161432802645,1,-5.65,-6.8,41,0.15713343902439025,0.1378048780487805,0.16585365853658537,8.740720000000001,55.62609750202989,63.42823362831859,52.70140000000001
