Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA
CHEMBL502586,4580,nM,O=C(OC1C(C)(C)C2C(C)(C3C(C)(C4(C)C(C5C(C(=O)O)(CC4)CCC(C)(C)C5)=CC3)CC2)CC1)c1c(C(=O)O)cccc1,-5.2576137,5.339134522,1,-3.62,-6.7
CHEMBL448816,2670,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)C(OCc6ccccc6)CC5)CC4)CC=3)CC1)CC(C)(C)CC2,-5.2455335,5.573488739,1,-4.11,-8.3
CHEMBL504397,2720,nM,O=C(O)c1c(COC2C(C)(C)C3C(C)(C4C(C)(C5(C)C(C6C(C(=O)O)(CC5)CCC(C)(C)C6)=CC4)CC3)CC2)cccc1,-5.6043644,5.565431096,1,-4.42,-7.7
CHEMBL506556,620,nM,O=C(O)c1cc(COC2C(C)(C)C3C(C)(C4C(C)(C5(C)C(C6C(C(=O)O)(CC5)CCC(C)(C)C6)=CC4)CC3)CC2)ccc1,-7.1102543,6.207608311,1,-5.15,-7.7
CHEMBL508831,540,nM,O=C(O)c1ccc(COC2C(C)(C)C3C(C)(C4C(C)(C5(C)C(C6C(C(=O)O)(CC5)CCC(C)(C)C6)=CC4)CC3)CC2)cc1,-6.3965688,6.26760624,1,-5.13,-8.3
CHEMBL499413,150,nM,O=C(O)C(NC(=O)CCCCC12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)C(OCc6ccc(C(=O)O)cc6)CC5)CC4)CC=3)CC1)CC(C)(C)CC2)Cc1ccccc1,-6.6875043,6.823908741,1,-4.16,-6.8
CHEMBL489670,2850,nM,O=C(O)C12C(C=3C(C)(C4(C)C(C5(C)C(C(C)(C)C(=C)CC5)CC4)CC=3)CC1)CC(C)(C)CC2,-4.7994194,5.54515514,1,-3.21,-5.7
CHEMBL517270,20430,nM,O=C(OC1=C(c2c(O)ccc(O)c2)OC(C(=O)O)C(OC(=O)C)C1OC(=O)C)C,-6.1477237,4.689731633,1,-4.96,-5.6
CHEMBL462015,15950,nM,O=C(OC1=C(c2c(O)c3c(c(O)c2)cccc3)OC(C(=O)O)C(OC(=O)C)C1OC(=O)C)C,-6.5647807,4.797239313,1,-5.56,-6.1
CHEMBL502436,1120,nM,O=C(OC1=C(c2c(O)c3c(c(O)c2)cccc3)OC(C(=O)O)C(OC(=O)c2ccccc2)C1OC(=O)c1ccccc1)c1ccccc1,-5.9737797,5.950781977,1,-6.47,-7.3
CHEMBL503860,2440,nM,O=C(OC1C(OC(=O)c2ccccc2)C(CNC(=O)c2c(C(=O)O)cccc2)OC(c2c(OC)ccc(OC)c2)C1OC(=O)c1ccccc1)c1ccccc1,-8.2609806,5.612610174,1,-6.87,-6.3
CHEMBL450150,2360,nM,O=C(OC1C(OC(=O)c2ccccc2)C(CN=[N+]=[N-])OC(c2c(OC)c3c(c(OC)c2)cccc3)C1OC(=O)c1ccccc1)c1ccccc1,-6.6614032,5.627087997,1,-7.34,-7.5
